student_id,first_name,last_name,gender,date_of_birth,enrollment_year,grade_level,course_id,course_name,department,credits,instructor_id
536,Merissa,McTaggart,M,12/9/2000,2021,11,48,Analyst Programmer,English,5,8
983,Siegfried,Linkie,F,12/6/2003,2021,10,17,Dental Hygienist,History,5,22
273,Warren,Semonin,M,11/23/1991,2015,11,76,Structural Engineer,English,3,17
545,Wileen,Gledhall,M,6/5/1997,2017,10,62,Help Desk Technician,Science,3,38
992,Ami,Cantera,M,1/28/2001,2015,10,31,Teacher,Physical Education,4,26
856,Nissa,Skillington,M,2/28/1993,2023,11,93,Software Consultant,Math,3,31
753,Kevin,Reah,M,9/12/2003,2015,9,8,Business Systems Development Analyst,English,3,37
510,Cecilius,Keeble,M,1/13/2000,2020,10,42,Technical Writer,History,4,42
224,Reeta,Mullard,M,8/21/1993,2019,9,72,Staff Accountant III,English,3,42
128,Earlie,Spinelli,M,10/10/1998,2015,10,46,Actuary,Math,3,21
108,Kaleb,Szanto,F,2/20/2002,2018,9,17,Analog Circuit Design manager,History,5,8
629,Kurtis,Kienle,M,7/12/2001,2016,10,39,Account Executive,Science,4,48
178,Emory,Fossey,M,8/28/1990,2015,10,82,Research Associate,History,5,35
149,Clayson,Domone,M,2/16/1999,2023,11,61,Occupational Therapist,Computer Science,3,16
241,Obadias,Byram,F,9/14/1995,2017,11,63,Marketing Manager,History,5,25
783,Phillipp,Dikes,F,8/15/1996,2018,9,7,Clinical Specialist,Math,3,47
279,Gun,Sutty,M,8/4/1994,2019,9,52,Web Designer I,Computer Science,3,4
247,Edouard,Ackrill,F,10/2/1995,2017,11,33,Sales Representative,Computer Science,4,19
533,Abbott,Alti,M,4/27/2002,2022,10,24,Geologist I,Science,5,28
698,Agnola,Froschauer,F,4/28/2000,2017,11,67,Nurse,English,5,49
883,Jelene,Peacock,M,5/13/1992,2017,12,50,Senior Cost Accountant,English,4,36
563,Marylee,Kidder,M,10/10/1991,2021,11,46,Systems Administrator I,Computer Science,4,49
794,Delly,Lebarree,M,3/29/1996,2017,10,17,Systems Administrator I,Science,4,4
571,Audrie,Looks,M,11/24/2003,2018,11,47,Structural Analysis Engineer,Science,4,20
497,Gun,Pittoli,F,9/27/1999,2021,11,53,Accountant II,Math,3,44
574,Kerstin,Tuberfield,M,10/7/2005,2015,12,47,Internal Auditor,Science,3,35
643,Elka,Davidofski,F,2/18/2000,2016,9,64,Analog Circuit Design manager,English,3,30
367,Yehudi,Kingsnoad,F,12/11/1992,2015,11,31,VP Sales,Physical Education,4,16
66,Sashenka,Stuckford,F,1/28/1998,2020,10,85,VP Sales,English,5,49
180,Frans,Poone,F,6/3/1997,2017,11,55,Internal Auditor,English,4,36
9,Aluino,Oakhill,F,7/10/2000,2023,11,62,Teacher,Science,5,4
890,Jehanna,Aguirrezabal,M,9/16/2004,2022,12,90,GIS Technical Architect,Math,3,29
442,Rivy,Ayerst,M,4/14/1997,2016,9,6,Account Coordinator,Science,5,49
549,Scott,Bernaciak,F,5/5/2005,2018,9,28,Programmer II,History,5,24
319,Jeddy,Tourot,F,8/20/2000,2018,12,68,Quality Control Specialist,Science,3,17
558,Lindy,Millam,F,1/3/2004,2019,12,66,Research Associate,English,3,4
546,Ardine,Bison,M,4/29/1997,2018,11,71,Nuclear Power Engineer,Math,4,11
837,Lin,Rawlings,F,10/10/2004,2017,10,21,Director of Sales,Computer Science,5,19
267,Michaelina,Ghiotto,F,8/28/1992,2020,12,17,Civil Engineer,History,3,11
248,Sayres,Crowne,F,1/3/1997,2019,10,32,Executive Secretary,Physical Education,3,39
722,Sorcha,Calvie,F,4/20/2005,2015,10,41,Programmer III,Math,5,3
58,Lilith,Szabo,F,8/25/1996,2023,10,69,Registered Nurse,Science,4,42
514,Rhody,Orro,M,3/2/2005,2019,10,51,Programmer II,Math,3,19
186,Marilee,Tockell,M,1/19/2001,2022,10,81,Staff Scientist,Math,3,50
41,Atlanta,Horwell,M,11/4/2005,2018,12,71,GIS Technical Architect,Computer Science,5,50
327,Sunny,Widdison,M,12/14/2004,2022,11,43,Administrative Assistant II,Computer Science,3,20
629,Gerty,Dewberry,M,5/7/1993,2019,9,79,Senior Editor,Physical Education,5,46
345,Engracia,Bedward,M,7/10/1997,2023,12,41,Senior Financial Analyst,Physical Education,5,26
160,Annis,Abdon,M,10/29/1990,2016,11,90,General Manager,Physical Education,4,41
650,Isahella,Yepiskov,M,10/4/2001,2020,10,80,Programmer I,Computer Science,4,42
80,Fania,Ridgers,F,12/31/1992,2019,10,48,Registered Nurse,Physical Education,3,18
518,Florri,Darwood,F,12/6/2002,2022,12,80,Systems Administrator III,Computer Science,4,29
347,Farand,Quilter,M,7/3/1997,2018,11,6,Media Manager II,Math,5,10
294,Meryl,Rigden,M,9/9/1994,2020,10,18,Accountant III,English,3,44
874,Mortimer,Manvelle,M,8/20/1990,2021,11,72,Social Worker,Physical Education,3,4
155,Auberon,Folomin,F,3/2/2003,2018,12,55,Database Administrator III,Computer Science,3,30
236,Marchall,Swepson,M,5/11/1996,2017,10,20,Editor,Physical Education,5,29
982,Mira,Wrench,F,7/16/2002,2023,12,11,Assistant Manager,Science,5,33
877,Fanechka,Antonnikov,M,9/10/1993,2018,10,8,Structural Analysis Engineer,English,4,43
505,Glenn,Shaplin,F,2/11/2000,2016,9,62,Junior Executive,Physical Education,4,39
194,Caldwell,Venditti,F,5/16/1994,2020,11,66,Developer III,Computer Science,4,14
982,Twyla,Adie,M,9/9/2001,2015,9,80,VP Product Management,Computer Science,3,28
844,Maud,Crossley,M,4/1/2005,2021,12,76,Graphic Designer,Physical Education,5,33
640,Marlin,Kippin,M,7/22/1991,2015,12,35,Research Nurse,English,3,4
690,Morgen,Delcastel,M,1/14/2002,2015,9,33,Safety Technician IV,History,4,27
528,Johannah,Knowlson,F,11/16/1990,2017,10,98,Operator,Science,3,6
589,Fawne,Finlayson,M,3/24/1995,2016,9,64,Developer III,Math,4,7
473,Hyacinth,Moriarty,M,8/25/2005,2016,10,58,Tax Accountant,Science,5,36
432,Giulietta,Elfleet,M,3/13/2003,2020,11,3,Recruiting Manager,Computer Science,5,31
804,Agnes,Normanell,F,11/29/2000,2021,10,47,Internal Auditor,Math,3,47
433,Ulrike,Gilstoun,M,7/2/2005,2018,10,73,Tax Accountant,History,4,32
442,Vicky,Edmund,M,7/24/2002,2023,9,94,Geological Engineer,Physical Education,4,41
362,Hogan,Breinlein,F,1/12/1992,2015,11,86,Administrative Officer,Computer Science,4,20
9,Phillis,Ajam,F,12/6/1993,2019,10,65,Internal Auditor,Computer Science,5,15
254,Toddie,Piscotti,F,2/15/1993,2021,11,26,Executive Secretary,Physical Education,3,28
152,Gwenora,Leith,M,6/26/1994,2016,12,53,Payment Adjustment Coordinator,Computer Science,3,18
287,Klara,Boler,F,1/15/1998,2016,9,30,Recruiting Manager,Science,3,27
868,Dunc,Sterman,M,6/10/1997,2017,11,72,Senior Developer,English,5,12
172,Corbin,McGuiness,M,4/10/1995,2018,11,51,Programmer II,Physical Education,4,39
591,Gianni,Speller,M,1/24/1998,2017,11,7,Research Assistant III,History,4,47
296,Mohandis,Acton,F,4/29/2001,2022,10,43,Quality Engineer,English,5,4
790,Bartel,Edleston,F,6/20/2005,2021,12,80,Teacher,History,3,21
391,Dav,Malby,F,8/13/1994,2020,9,65,Account Executive,Math,4,6
937,Glynnis,Danielczyk,M,1/11/1997,2015,9,18,Programmer I,Math,5,13
934,Nev,Hanley,M,5/13/1996,2017,10,90,Accounting Assistant IV,Science,3,24
830,Chicky,Hassur,M,12/27/2001,2022,10,50,Assistant Media Planner,Physical Education,4,8
673,Mel,Tamblyn,M,7/25/1994,2015,10,39,Internal Auditor,English,5,16
183,Bert,Camillo,M,5/17/1996,2016,12,18,GIS Technical Architect,Physical Education,3,13
833,Rosanne,Hutchinges,F,8/15/1995,2021,12,69,Operator,English,3,21
184,Gayelord,Wait,F,9/21/1996,2021,12,15,Analyst Programmer,Computer Science,3,49
898,Carny,Biscomb,M,7/5/2003,2018,12,98,Editor,Physical Education,3,8
651,Hyatt,Stollmeier,F,12/15/1999,2017,10,86,General Manager,Science,4,46
178,Hesther,Brecknell,M,5/24/1993,2023,12,57,Internal Auditor,History,5,41
516,Mead,Cropton,M,9/20/1995,2023,11,18,Social Worker,Math,3,28
242,Waylin,Presshaugh,M,3/3/2005,2023,12,2,Geological Engineer,Physical Education,4,13
438,Carolin,Dinesen,M,6/17/1997,2017,10,34,Operator,Physical Education,3,47
568,Von,Wheadon,F,7/13/2003,2022,10,71,Research Associate,Math,3,34
325,Jamal,Agutter,F,11/19/2002,2019,9,24,Web Developer II,History,4,22
551,Tyler,Fernandes,M,7/12/2003,2021,9,41,Nurse Practicioner,Math,3,46
759,Artemis,Glowach,M,3/5/1995,2019,11,61,Technical Writer,Science,4,15
661,Shellie,Creamen,M,1/25/2002,2020,10,50,Librarian,Physical Education,5,47
70,Mureil,Luxford,F,7/2/2002,2015,9,23,Account Coordinator,Math,3,2
651,Trixie,Seviour,F,11/7/1998,2022,10,60,Electrical Engineer,Science,5,15
979,Andromache,Broadist,M,4/2/1996,2021,10,7,Office Assistant II,History,5,46
733,Carole,Jandourek,F,2/18/1997,2020,12,90,Accounting Assistant II,Computer Science,5,47
746,Milly,Smees,M,10/24/2002,2022,12,58,Teacher,History,5,13
998,Sydney,Beaument,F,7/12/1992,2017,9,24,Research Nurse,English,3,29
684,Catharina,Trimme,M,9/25/1997,2015,9,12,Research Nurse,Math,3,49
672,Yard,Gronaver,M,6/12/1995,2021,10,28,Data Coordinator,English,3,13
395,Lane,Record,F,1/13/1992,2021,10,89,Civil Engineer,Math,5,13
493,Mile,Winfred,M,5/5/1998,2017,10,32,Actuary,Science,5,2
649,Haskel,Redhole,F,4/29/2004,2021,10,1,VP Marketing,Physical Education,5,35
596,Quill,Brafield,F,3/18/1990,2015,10,10,GIS Technical Architect,Math,3,22
579,Ingram,Wyllis,M,6/19/2001,2017,10,62,Associate Professor,Science,3,17
757,Lorri,Emberson,M,6/3/1997,2015,10,13,VP Sales,Math,5,19
746,Dal,Munnery,F,6/24/1993,2023,11,30,Occupational Therapist,Science,4,25
40,Brittne,Skull,F,11/16/2000,2019,9,80,Senior Cost Accountant,History,4,2
175,Padraig,Eyree,F,1/3/2005,2015,12,99,Speech Pathologist,Physical Education,4,9
236,Paulo,Colthard,F,8/18/1996,2015,11,23,Speech Pathologist,Physical Education,4,13
180,Xenos,Grinnell,M,3/5/1996,2020,12,98,Structural Analysis Engineer,Physical Education,5,28
854,Nicol,Peskin,F,9/24/1998,2016,9,26,Safety Technician I,History,5,10
70,Joy,Cattellion,F,9/25/1999,2023,12,2,Technical Writer,Physical Education,5,26
239,Lina,Coaten,M,5/14/1993,2018,10,12,Budget/Accounting Analyst III,Math,5,42
857,Zea,Ferry,M,4/21/1992,2018,11,83,Recruiter,English,4,48
382,Raphaela,Snaden,F,3/17/1999,2019,11,93,Assistant Media Planner,History,3,12
639,Jordan,Enrrico,M,9/23/1991,2022,10,32,Mechanical Systems Engineer,Physical Education,5,8
162,Cherice,Potte,F,7/20/2001,2015,11,40,Programmer Analyst III,Math,4,28
914,Anthea,Fellow,F,3/11/2005,2017,11,62,Senior Cost Accountant,History,3,29
544,Nichole,Garrow,F,8/26/1994,2015,12,77,Senior Quality Engineer,English,5,13
113,Margareta,Stenner,F,3/30/1993,2023,9,77,Chemical Engineer,English,5,45
478,Giacomo,Hintzer,M,10/8/2001,2015,9,62,Design Engineer,Science,4,18
681,Heddie,Wontner,M,10/14/1995,2018,9,63,Senior Developer,Math,4,47
537,Hewitt,Scoles,M,7/31/1997,2016,9,59,Actuary,Science,3,47
280,Son,Topaz,F,6/25/2000,2021,12,44,Web Designer II,English,5,50
659,Jerrome,MacVaugh,M,8/18/1996,2023,11,3,Software Consultant,Physical Education,4,25
609,Ken,Mousley,M,9/3/1995,2018,12,86,Geological Engineer,Computer Science,5,18
161,Adela,Errol,M,6/25/1997,2021,9,88,Senior Cost Accountant,English,3,27
470,Kahlil,McOnie,M,4/14/2004,2022,10,44,Health Coach III,History,4,48
767,Neysa,Hartin,F,5/17/1998,2022,12,39,Senior Sales Associate,History,3,38
395,Ernestus,Kenelin,M,3/26/1996,2018,11,21,Registered Nurse,Computer Science,3,25
93,Westley,Sprake,F,9/25/1992,2022,11,26,Sales Representative,Computer Science,3,11
326,Rasia,Golsworthy,F,12/21/2004,2020,12,51,Desktop Support Technician,Computer Science,5,19
916,Barney,Witnall,F,10/1/1998,2017,11,84,General Manager,Science,4,14
764,Lois,Otterwell,F,4/19/2002,2020,11,1,Nurse Practicioner,English,4,6
105,Ekaterina,Cathee,M,9/20/1994,2015,9,5,Product Engineer,Science,4,6
475,Glad,Alessandrucci,M,11/22/1997,2021,11,44,Clinical Specialist,History,4,10
553,Smith,Eilhersen,F,9/22/1992,2023,9,78,Teacher,Math,5,5
626,Faunie,Judd,M,6/30/2003,2021,9,55,Geologist III,History,5,34
514,Lynnell,Hegdonne,F,7/18/2004,2020,11,84,Payment Adjustment Coordinator,History,4,50
153,Brittany,Gue,M,7/13/2003,2018,9,7,Design Engineer,History,3,29
959,Eda,Castagnone,F,9/18/1996,2023,12,97,GIS Technical Architect,Math,4,1
867,Maury,Tille,M,12/19/1992,2022,9,54,Administrative Officer,English,3,31
688,Alis,Bennike,M,7/19/2005,2018,9,60,Speech Pathologist,Science,5,48
431,Denney,Tompkin,F,5/15/1990,2018,10,40,Environmental Specialist,Science,5,12
806,Adah,Lockwood,M,1/4/1998,2016,12,100,Engineer I,Science,3,34
981,Ursala,Moscon,M,2/12/1996,2015,9,52,Research Associate,Physical Education,3,42
505,Helyn,Besson,M,10/30/2001,2019,11,60,Project Manager,Physical Education,3,37
13,Nataniel,Staples,M,9/23/2001,2022,9,84,Help Desk Operator,History,4,49
28,Estele,Cosker,F,11/27/1992,2016,9,89,Human Resources Manager,Math,3,1
638,Kirbie,Elsy,M,2/5/1997,2021,10,11,VP Product Management,English,5,4
269,Cicily,Clyant,F,11/2/2005,2015,11,5,Environmental Specialist,Math,5,38
831,Codie,Vanini,F,11/13/1996,2017,11,47,VP Sales,English,5,18
307,Koralle,Bee,M,7/13/2001,2020,12,94,Recruiter,English,4,44
902,Renate,Marquot,F,1/21/1990,2018,10,94,Nurse Practicioner,Computer Science,5,46
373,Gilli,Evison,M,4/9/1997,2020,11,81,Programmer Analyst II,Math,3,47
166,Candide,Brugger,F,11/3/1997,2017,10,91,Structural Engineer,Science,5,48
518,Lance,Simonnin,M,1/18/2003,2016,10,66,VP Product Management,History,5,43
41,Cristin,Samuels,M,7/30/1995,2018,12,40,Quality Engineer,History,5,30
378,Bianca,Froud,F,11/25/2005,2020,12,96,Payment Adjustment Coordinator,Computer Science,3,33
512,Dione,Dibnah,M,2/20/1998,2022,10,23,Budget/Accounting Analyst III,Physical Education,3,5
696,Lolly,Claffey,M,6/6/2000,2018,11,48,Media Manager II,History,3,30
81,Lise,Trye,M,7/6/1992,2021,11,33,Automation Specialist III,Math,4,24
698,Kaleb,Biggadike,F,3/24/2003,2020,10,8,Cost Accountant,Science,5,16
958,Ranee,Ashall,F,11/30/2001,2020,12,65,Compensation Analyst,Math,3,34
926,Judon,Bruhn,F,8/25/1998,2018,12,84,Account Representative III,Computer Science,5,23
471,Malvina,Wither,M,10/9/2000,2020,11,26,Senior Sales Associate,Science,3,34
106,Vida,Lambot,F,5/24/1997,2016,9,96,Assistant Professor,English,3,32
569,Durant,Barajas,F,11/4/1997,2020,9,95,Mechanical Systems Engineer,Math,3,10
241,Sig,Walne,F,12/16/2004,2016,10,62,Human Resources Assistant II,English,5,1
468,Daryl,Dudderidge,F,4/30/1997,2020,9,93,Assistant Media Planner,Computer Science,3,11
326,Anabelle,Casserley,M,2/2/1990,2017,11,80,VP Quality Control,Science,4,48
725,Adrienne,Costin,M,5/24/2004,2018,12,23,Executive Secretary,Computer Science,3,33
754,Elianore,de'-Ancy Willis,M,11/10/1992,2018,12,68,VP Product Management,English,4,28
409,Louisa,Hadwick,F,3/19/1991,2015,12,11,Director of Sales,Math,3,30
238,Pat,Purviss,M,3/1/1997,2019,9,99,Analog Circuit Design manager,Computer Science,5,2
913,Patsy,Note,M,1/31/1991,2017,12,20,Marketing Assistant,Math,3,24
199,Anett,Lambdin,M,12/8/1994,2019,12,8,Executive Secretary,Computer Science,5,46
348,Bethena,McPhelimey,M,5/8/2001,2022,12,57,GIS Technical Architect,Math,4,47
568,Joete,Hollyman,M,2/10/1992,2023,12,63,Environmental Tech,Science,5,46
313,Ludvig,Fidge,F,9/19/2001,2018,11,37,Executive Secretary,Science,3,31
983,Ermanno,Briskey,M,7/8/2001,2019,9,25,VP Sales,Math,3,37
989,Brianna,Sawers,F,5/15/1991,2022,10,9,Registered Nurse,History,4,44
877,Levin,McGrann,M,4/9/1992,2018,11,85,Administrative Assistant III,Computer Science,5,29
979,Hillery,Bernardeau,M,1/23/1999,2016,9,33,Paralegal,Math,5,2
107,Casey,Hogbin,F,12/29/2002,2018,9,57,Environmental Specialist,Math,5,12
188,Jamie,Sugg,M,1/10/2001,2015,12,34,Health Coach II,History,5,22
971,Eddie,Gealle,M,1/12/2004,2015,9,84,Nurse Practicioner,Math,3,38
660,Edithe,Locksley,M,4/29/1993,2022,10,73,General Manager,Math,3,48
23,Marabel,St. Queintain,F,10/15/2005,2015,12,69,Technical Writer,Computer Science,3,37
921,Vivienne,Ring,M,7/7/1992,2016,11,49,Librarian,History,3,35
808,Lynett,Boodell,M,12/27/2004,2018,12,34,Recruiting Manager,Physical Education,5,18
234,Calley,Benes,M,11/6/2000,2017,9,49,Staff Accountant II,Physical Education,4,26
94,Claudelle,Spybey,M,12/30/1998,2018,11,35,Budget/Accounting Analyst I,Math,5,10
265,Jane,Tremblot,F,7/20/1999,2015,9,96,Sales Representative,Computer Science,5,46
951,Marketa,Battell,M,3/10/1993,2021,12,4,Chief Design Engineer,Physical Education,4,9
179,Lissi,Fuidge,M,3/12/2004,2017,11,40,Pharmacist,Science,5,41
284,Enid,Cartmale,F,1/27/2003,2020,12,32,Safety Technician IV,Computer Science,3,11
819,Ennis,Scutching,F,11/29/1995,2019,11,24,Recruiter,English,4,33
629,Magdalene,Mattacks,M,9/16/2000,2018,10,91,Desktop Support Technician,Physical Education,3,30
947,Jill,Killeen,F,6/14/2001,2018,11,46,Account Coordinator,English,3,24
29,Cyndy,Weippert,F,5/16/1992,2020,11,36,Financial Advisor,English,4,9
508,Thorstein,Iozefovich,F,8/29/1998,2015,12,35,Analog Circuit Design manager,Math,4,20
96,Caroline,Finlay,F,4/16/1992,2022,12,87,Software Consultant,Math,4,34
5,Kathleen,Reville,F,4/29/1999,2022,10,61,Legal Assistant,Science,4,25
720,Bartram,Bernaert,M,3/30/1998,2018,10,74,Civil Engineer,Math,4,11
548,Aubrette,Esby,F,7/4/2004,2022,11,3,Marketing Manager,History,5,30
243,Nicolas,Hickford,F,4/9/2001,2021,9,14,Sales Associate,Science,4,43
885,Ugo,Greneham,F,10/12/2000,2023,9,55,Programmer Analyst IV,Physical Education,4,12
509,Derrick,Ketley,M,4/1/2000,2023,12,28,GIS Technical Architect,Math,3,39
956,Cece,Macauley,M,1/19/1993,2023,9,82,Engineer III,History,4,15
711,Emmi,Rojel,F,5/9/2005,2017,9,3,Business Systems Development Analyst,English,5,1
50,Hall,Seagrove,F,1/7/1994,2018,12,50,Senior Quality Engineer,English,4,21
998,Randee,Van De Cappelle,M,10/25/2001,2023,9,93,Cost Accountant,History,3,50
3,Doloritas,Rozzell,M,9/28/1993,2016,9,70,Internal Auditor,Physical Education,3,43
501,Anette,Seaborn,F,4/5/1994,2019,12,59,Human Resources Assistant III,History,5,10
78,Koressa,Whillock,F,3/1/1998,2020,9,90,Staff Accountant II,Physical Education,5,38
20,Riki,Pullen,M,9/16/2001,2022,11,84,Accountant II,Science,5,7
156,Abe,Hazelhurst,F,4/15/1998,2015,11,81,Administrative Officer,Math,5,40
867,Caye,Addams,M,5/27/1995,2022,10,10,Technical Writer,Science,4,26
827,Hanni,Ruff,M,5/5/1997,2018,11,15,Human Resources Manager,English,4,6
56,Brooke,Aylett,M,2/29/1992,2015,10,53,Senior Quality Engineer,Math,4,17
528,Madge,McCorry,F,8/14/1991,2019,12,59,Safety Technician II,History,4,24
355,Conney,Greatrex,M,12/30/2002,2022,10,72,Operator,Physical Education,5,7
875,Wat,Batcock,M,3/9/1990,2022,12,16,Financial Analyst,Science,3,13
256,Mirilla,Charnley,F,1/21/1992,2015,10,14,Account Executive,History,5,1
348,Felicity,Mortimer,F,11/20/1999,2021,10,82,Tax Accountant,Computer Science,3,8
771,Carmelia,Wollard,F,11/16/1991,2019,9,42,Associate Professor,Physical Education,5,28
57,Romonda,Cathcart,M,10/6/2005,2015,11,7,Research Assistant IV,Science,4,3
241,Brandais,Charlotte,M,10/22/2001,2018,9,63,Office Assistant III,English,4,42
93,Faunie,Walding,M,2/8/1998,2016,9,27,VP Marketing,English,3,47
717,Gonzalo,Skinner,F,2/27/2005,2023,10,52,Automation Specialist II,Math,5,24
869,Alidia,Laviss,M,5/11/2003,2015,10,56,Librarian,Computer Science,4,1
438,Rodd,Fussey,F,9/28/1997,2023,11,2,Quality Engineer,Computer Science,3,4
483,Genni,Jenkinson,F,3/2/1994,2020,9,5,Executive Secretary,Science,3,45
631,Arabelle,Sofe,F,10/13/1995,2017,9,5,Actuary,Computer Science,5,21
219,Sandi,Bonick,F,3/6/2003,2019,9,25,Payment Adjustment Coordinator,English,3,27
325,Ellis,Mersey,M,10/10/1998,2017,12,2,Safety Technician I,Physical Education,5,41
571,Pieter,Cullity,M,7/15/1994,2019,12,63,Staff Accountant II,Math,5,33
806,Henrik,Overal,M,12/25/1990,2023,12,84,Structural Engineer,Math,3,32
215,May,Cowen,M,10/26/1998,2015,11,96,Account Coordinator,Science,3,47
133,Keeley,Sinisbury,M,9/5/2001,2020,11,61,Professor,Physical Education,3,29
858,Amery,Whetton,F,8/9/1997,2019,11,9,Senior Developer,English,3,12
